Cluster;Star;X;Y;Color;Size;Sphere of Influence;Planet;Type;Hazard;Tectonics;Weather;Thermal;Biohazard;Biological Units;Mineral Value;Axial Tilt;Density;Radius;Gravity;Temp;Day Duration;Atmosphere;DistFromStar
Persei;Beta;947.9;266.6;white;dwarf;Druuge;I;Gas Giant;8;2;8;4;1;0;0;1;21;684;143;173;110;65535;1129
Phoenicis;Gamma;981.2;414.5;blue;dwarf;Druuge;I;Treasure;6;3;4;6;1;0;720;-5;192;27;51;404;24955;100;517
Phoenicis;Beta;957.3;418.2;red;dwarf;Druuge;I;Noble;3;3;1;1;1;0;108;6;34;28;9;-191;252;0;524
Pictoris;Delta;959.9;358.3;green;dwarf;Druuge;I;Plutonic;8;4;8;3;5;108;1392;29;156;82;127;103;250;3265;837
Pictoris;Alpha;933.3;370.8;green;dwarf;Druuge;I;Acid;4;4;3;2;1;0;187;-5;99;37;36;82;265;11;526
Pictoris;Gamma;937.5;360.4;yellow;dwarf;Druuge;I;Vinylogous;2;2;1;1;1;0;75;24;98;75;73;-159;194;0;2432
Pictoris;Beta;931.2;356.2;blue;dwarf;Druuge;I;Gas Giant;8;3;8;1;1;0;0;12;20;1148;229;-84;130;65535;2469
Piscium;Gamma;870.8;362.5;orange;dwarf;Druuge;I;Halide;2;2;1;1;1;0;498;12;62;37;22;-63;207;0;323
Piscium;Beta;879.1;354.1;orange;dwarf;Druuge;I;Radioactive;3;3;1;1;1;0;640;-10;208;31;64;-197;262;0;2440
Piscium;Delta;877.0;345.8;green;dwarf;Druuge;I;Opalescent;2;2;1;1;1;0;148;-9;60;35;21;-133;13618;0;2878
Piscium;Alpha;843.7;345.8;green;dwarf;Druuge;I;Quasi-Degenerate;4;4;1;3;1;0;950;-5;143;25;35;104;299;0;398
Puppis;Beta;829.1;297.9;orange;dwarf;Druuge;I;Cimmerian;3;3;1;1;1;0;81;0;145;37;53;-207;207;0;3228
Puppis;Gamma;827.0;295.8;green;dwarf;Druuge;I;Alkali;3;3;1;1;1;0;36;-23;103;34;35;-188;258;12;7810
Pictoris;Beta;931.2;356.2;blue;dwarf;Druuge;I-a;Cyanic;3;3;1;1;1;0;0;-30;32;27;8;-84;250;0;2469
Pictoris;Beta;931.2;356.2;blue;dwarf;Druuge;I-b;Lanthanide;7;7;1;1;1;0;620;-3;149;29;43;-84;241;0;2469
Algol;Prime;900.0;325.0;red;dwarf;Druuge;II;Cimmerian;4;4;1;1;1;0;35;-1;151;31;46;-235;281;0;2438
Almagest;Prime;990.9;235.9;blue;dwarf;Druuge;II;Yttric;3;3;2;1;2;62;958;-7;146;34;49;-97;173;15;2840
Arietis;Epsilon;955.9;173.5;orange;dwarf;Druuge;II;Magnetic;6;6;1;1;1;0;315;-20;153;79;120;-200;153;0;2616
Arietis;Gamma;947.7;167.0;yellow;dwarf;Druuge;II;Vinylogous;4;4;1;1;1;0;203;-15;103;75;77;-208;155;0;7545
Arietis;Delta;954.1;168.7;red;giant;Druuge;II;Dust;3;3;2;1;2;49;192;-4;60;35;21;-140;155;14;4972
Persei;Beta;947.9;266.6;white;dwarf;Druuge;II;Acid;3;3;2;1;1;0;203;-4;104;32;33;-2;19869;14;2045
Persei;Gamma;933.3;279.1;red;dwarf;Druuge;II;Ultramarine;4;3;3;1;1;0;407;-13;32;37;11;-220;277;106;1249
Persei;Delta;925.0;285.4;white;dwarf;Druuge;II;Alkali;3;2;3;1;1;0;210;0;98;29;28;36;298;108;2063
Persei;Theta;937.5;241.6;green;dwarf;Druuge;II;Green;4;4;3;1;1;6;340;-18;98;29;28;-99;251;79;1857
Persei;Eta;889.5;268.7;orange;dwarf;Druuge;II;Iodine;6;6;3;1;1;0;161;-52;60;100;60;-154;247;10;997
Persei;Epsilon;903.8;240.7;red;dwarf;Druuge;II;Magma;7;7;1;1;1;0;192;16;145;76;110;-234;150;0;2241
Persei;Iota;887.5;231.2;green;dwarf;Druuge;II;Selenic;1;1;1;1;1;0;168;-2;62;31;19;-144;282;0;3360
Persei;Alpha;929.1;258.3;blue;dwarf;Druuge;II;Noble;1;1;1;1;1;0;143;-20;33;30;9;-165;290;0;7534
Persei;Zeta;946.9;280.6;orange;dwarf;Druuge;II;Infrared;3;2;3;1;1;0;87;32;101;31;31;-186;244;93;1849
Phoenicis;Gamma;981.2;414.5;blue;dwarf;Druuge;II;Metal;5;4;3;1;5;115;992;7;145;37;53;-111;253;112;3376
Phoenicis;Beta;957.3;418.2;red;dwarf;Druuge;II;Azure;4;4;2;1;1;0;129;-9;62;28;17;-215;41260;14;1058
Pictoris;Gamma;937.5;360.4;yellow;dwarf;Druuge;II;Cimmerian;2;2;1;1;1;0;80;-13;153;33;50;-182;226;0;3786
Pictoris;Alpha;933.3;370.8;green;dwarf;Druuge;II;Ultramarine;3;2;3;1;1;0;318;19;34;34;11;-88;230;110;1646
Pictoris;Delta;959.9;358.3;green;dwarf;Druuge;II;Pellucid;2;2;1;1;1;0;0;-2;61;37;22;-63;257;0;1285
Piscium;Alpha;843.7;345.8;green;dwarf;Druuge;II;Ultramarine;5;1;3;1;5;87;63;-4;34;34;11;-100;279;104;1900
Piscium;Gamma;870.8;362.5;orange;dwarf;Druuge;II;Gas Giant;8;3;8;1;1;0;0;29;20;452;90;-182;94;65535;1685
Arietis;Gamma;947.7;167.0;yellow;dwarf;Druuge;II-a;Dust;3;3;1;1;1;0;102;-22;58;36;20;-208;229;10;7545
Persei;Epsilon;903.8;240.7;red;dwarf;Druuge;II-a;Dust;5;5;2;1;1;0;51;8;62;33;20;-234;191;14;2241
Piscium;Gamma;870.8;362.5;orange;dwarf;Druuge;II-a;Radioactive;3;3;1;1;1;0;1128;28;197;26;51;-182;227;0;1685
Arietis;Gamma;947.7;167.0;yellow;dwarf;Druuge;II-b;Pellucid;1;1;1;1;1;0;250;4;63;33;20;-208;246;0;7545
Piscium;Gamma;870.8;362.5;orange;dwarf;Druuge;II-b;Pellucid;2;2;1;1;1;0;0;14;63;35;22;-182;225;0;1685
Algol;Prime;900.0;325.0;red;dwarf;Druuge;III;Urea;6;6;3;1;1;0;29;-8;63;28;17;-239;210;92;2937
Almagest;Prime;990.9;235.9;blue;dwarf;Druuge;III;Quasi-Degenerate;4;4;1;1;1;0;725;2;148;26;38;-145;51329;0;5371
Arietis;Epsilon;955.9;173.5;orange;dwarf;Druuge;III;Magma;8;8;1;1;1;0;129;-21;143;109;155;-211;18976;0;3649
Persei;Iota;887.5;231.2;green;dwarf;Druuge;III;Redux;5;5;1;1;1;0;296;-6;100;108;108;-174;209;0;5698
Persei;Theta;937.5;241.6;green;dwarf;Druuge;III;Carbide;3;3;1;1;1;0;118;7;102;27;27;-133;294;0;2855
Persei;Eta;889.5;268.7;orange;dwarf;Druuge;III;Alkali;4;4;2;1;1;0;327;15;103;36;37;-195;263;15;2305
Persei;Zeta;946.9;280.6;orange;dwarf;Druuge;III;Selenic;1;1;1;1;1;0;234;-30;58;28;16;-208;219;0;3327
Persei;Gamma;933.3;279.1;red;dwarf;Druuge;III;Dust;2;2;2;1;1;0;69;-29;61;28;17;-236;292;15;2547
Persei;Beta;947.9;266.6;white;dwarf;Druuge;III;Gas Giant;8;2;8;1;1;0;0;3;21;1272;267;-61;158;65535;2851
Persei;Epsilon;903.8;240.7;red;dwarf;Druuge;III;Gas Giant;8;2;8;1;1;0;0;8;20;453;90;-241;142;65535;3258
Persei;Delta;925.0;285.4;white;dwarf;Druuge;III;Gas Giant;8;3;8;1;1;0;0;-28;20;373;74;-126;94;65535;5848
Phoenicis;Beta;957.3;418.2;red;dwarf;Druuge;III;Iodine;3;3;2;1;1;0;122;2;58;98;56;-233;188;14;2151
Phoenicis;Gamma;981.2;414.5;blue;dwarf;Druuge;III;Quasi-Degenerate;6;6;1;1;1;0;975;13;151;29;43;-164;37433;0;7356
Pictoris;Delta;959.9;358.3;green;dwarf;Druuge;III;Organic;6;6;1;1;1;0;115;42;103;75;77;-116;12167;0;2298
Pictoris;Gamma;937.5;360.4;yellow;dwarf;Druuge;III;Telluric;3;2;3;1;1;0;318;0;98;109;106;-189;184;107;4448
Pictoris;Alpha;933.3;370.8;green;dwarf;Druuge;III;Gas Giant;8;1;8;1;1;0;0;11;20;400;80;-149;87;65535;3632
Piscium;Gamma;870.8;362.5;orange;dwarf;Druuge;III;Alkali;4;4;2;1;1;0;207;-2;100;28;28;-198;55016;11;2512
Piscium;Alpha;843.7;345.8;green;dwarf;Druuge;III;Selenic;1;1;1;1;1;0;105;-4;60;37;22;-134;267;0;2923
Persei;Beta;947.9;266.6;white;dwarf;Druuge;III-a;Yttric;3;3;2;1;1;0;473;-6;145;25;36;-61;272;11;2851
Persei;Delta;925.0;285.4;white;dwarf;Druuge;III-a;Halide;3;3;1;1;1;0;236;-6;58;29;16;-126;228;0;5848
Persei;Iota;887.5;231.2;green;dwarf;Druuge;III-a;Alkali;2;2;1;1;1;0;255;-10;99;33;32;-174;209;10;5698
Pictoris;Alpha;933.3;370.8;green;dwarf;Druuge;III-a;Purple;4;4;1;1;1;0;129;17;60;25;15;-149;264;0;3632
Persei;Beta;947.9;266.6;white;dwarf;Druuge;III-b;Treasure;3;3;1;1;1;0;1176;13;206;27;55;-61;216;0;2851
Persei;Delta;925.0;285.4;white;dwarf;Druuge;III-b;Urea;7;7;2;1;2;28;38;9;61;30;18;-126;227;104;5848
Pictoris;Alpha;933.3;370.8;green;dwarf;Druuge;III-b;Urea;7;7;3;1;1;0;49;-13;61;37;22;-149;169;101;3632
Persei;Beta;947.9;266.6;white;dwarf;Druuge;III-c;Radioactive;3;3;1;1;1;0;1296;29;208;29;60;-61;260;0;2851
Persei;Delta;925.0;285.4;white;dwarf;Druuge;III-c;Yttric;2;2;1;1;1;0;373;6;154;27;41;-126;205;10;5848
Pictoris;Alpha;933.3;370.8;green;dwarf;Druuge;III-c;Super-Dense;7;7;3;1;2;40;54;-26;195;32;62;-149;234;99;3632
Persei;Delta;925.0;285.4;white;dwarf;Druuge;III-d;Radioactive;1;1;1;1;1;0;872;-20;198;26;51;-126;29292;0;5848
Algol;Prime;900.0;325.0;red;dwarf;Druuge;IV;Purple;2;2;1;1;1;0;75;-13;61;37;22;-244;267;0;4086
Almagest;Prime;990.9;235.9;blue;dwarf;Druuge;IV;Cyanic;1;1;1;1;1;0;98;-2;33;32;10;-161;187;0;7004
Persei;Eta;889.5;268.7;orange;dwarf;Druuge;IV;Carbide;3;3;1;1;1;0;105;-2;96;29;27;-223;206;0;5631
Persei;Beta;947.9;266.6;white;dwarf;Druuge;IV;Radioactive;3;3;1;1;1;0;800;-17;207;32;66;-95;175;0;4027
Persei;Theta;937.5;241.6;green;dwarf;Druuge;IV;Alkali;3;3;2;1;1;0;267;0;102;29;29;-155;229;12;4041
Persei;Iota;887.5;231.2;green;dwarf;Druuge;IV;Cyanic;2;2;1;1;1;0;70;14;33;32;10;-179;46895;0;6355
Persei;Epsilon;903.8;240.7;red;dwarf;Druuge;IV;Noble;2;2;1;1;1;0;160;14;33;28;9;-245;221;0;4349
Persei;Gamma;933.3;279.1;red;dwarf;Druuge;IV;Magma;8;8;1;1;1;0;123;-23;156;98;152;-241;222;0;3378
Persei;Zeta;946.9;280.6;orange;dwarf;Druuge;IV;Super-Dense;7;7;2;1;4;106;114;-7;194;29;56;-225;287;91;6156
Phoenicis;Beta;957.3;418.2;red;dwarf;Druuge;IV;Telluric;3;3;2;1;1;0;333;8;105;99;103;-249;187;101;6050
Pictoris;Alpha;933.3;370.8;green;dwarf;Druuge;IV;Radioactive;3;3;1;1;1;0;1232;13;204;37;75;-161;285;0;4513
Pictoris;Delta;959.9;358.3;green;dwarf;Druuge;IV;Chlorine;6;6;1;1;1;0;196;-19;103;79;81;-138;188;0;3092
Pictoris;Gamma;937.5;360.4;yellow;dwarf;Druuge;IV;Copper;2;2;1;1;1;0;237;-30;156;27;42;-201;282;13;6144
Piscium;Gamma;870.8;362.5;orange;dwarf;Druuge;IV;Crimson;3;1;3;1;1;0;223;30;96;31;29;-219;250;102;4779
Persei;Gamma;933.3;279.1;red;dwarf;Druuge;IX;Gas Giant;8;2;8;1;1;0;0;-2;20;1309;261;-252;110;65535;7618
Persei;Gamma;933.3;279.1;red;dwarf;Druuge;IX-a;Cimmerian;5;5;1;1;1;0;66;3;157;27;42;-252;24323;0;7618
Persei;Gamma;933.3;279.1;red;dwarf;Druuge;IX-b;Purple;2;2;1;1;1;0;39;-8;63;27;17;-252;199;0;7618
Algol;Prime;900.0;325.0;red;dwarf;Druuge;V;Hydrocarbon;4;4;1;1;1;0;113;-6;101;109;110;-250;283;0;6231
Persei;Iota;887.5;231.2;green;dwarf;Druuge;V;Copper;3;3;1;1;1;0;366;-5;156;33;51;-187;276;12;7631
Persei;Gamma;933.3;279.1;red;dwarf;Druuge;V;Magnetic;7;7;1;1;1;0;384;-16;146;94;137;-245;249;0;4325
Persei;Epsilon;903.8;240.7;red;dwarf;Druuge;V;Purple;3;3;1;1;1;0;96;-32;58;31;17;-247;25851;0;5235
Persei;Eta;889.5;268.7;orange;dwarf;Druuge;V;Water;4;4;1;1;1;0;85;5;99;82;81;-226;165;15;6263
Persei;Beta;947.9;266.6;white;dwarf;Druuge;V;Gas Giant;8;1;8;1;1;0;0;5;20;830;166;-132;130;65535;6345
Persei;Zeta;946.9;280.6;orange;dwarf;Druuge;V;Gas Giant;8;3;8;1;1;0;0;19;21;1088;228;-228;102;65535;6751
Phoenicis;Beta;957.3;418.2;red;dwarf;Druuge;V;Gas Giant;8;3;8;1;1;0;0;17;21;906;190;-251;123;65535;6714
Pictoris;Delta;959.9;358.3;green;dwarf;Druuge;V;Ultraviolet;4;3;3;1;1;0;1810;-27;149;82;122;-172;284;112;5547
Pictoris;Gamma;937.5;360.4;yellow;dwarf;Druuge;V;Xenolithic;4;4;1;1;1;0;456;20;96;98;94;-206;252;15;7123
Pictoris;Alpha;933.3;370.8;green;dwarf;Druuge;V;Hydrocarbon;5;5;1;1;1;0;160;1;102;88;89;-177;223;0;6051
Piscium;Gamma;870.8;362.5;orange;dwarf;Druuge;V;Maroon;2;2;2;1;1;0;281;26;63;93;58;-221;261;12;5206
Persei;Beta;947.9;266.6;white;dwarf;Druuge;V-a;Treasure;1;1;1;1;1;0;1242;6;206;26;53;-132;209;0;6345
Persei;Zeta;946.9;280.6;orange;dwarf;Druuge;V-a;Pellucid;2;2;1;1;1;0;0;3;63;33;20;-228;269;0;6751
Phoenicis;Beta;957.3;418.2;red;dwarf;Druuge;V-a;Cimmerian;5;2;1;1;5;14;97;-8;156;35;54;-251;275;0;6714
Piscium;Gamma;870.8;362.5;orange;dwarf;Druuge;V-a;Acid;5;5;1;1;1;0;225;-14;98;27;26;-221;202;0;5206
Persei;Beta;947.9;266.6;white;dwarf;Druuge;V-b;Cyanic;2;2;1;1;1;0;131;-24;32;29;9;-132;288;0;6345
Persei;Zeta;946.9;280.6;orange;dwarf;Druuge;V-b;Azure;5;5;1;1;1;0;180;-19;58;25;14;-228;276;14;6751
Phoenicis;Beta;957.3;418.2;red;dwarf;Druuge;V-b;Ultramarine;2;2;2;1;1;10;434;11;33;32;10;-251;216;77;6714
Persei;Beta;947.9;266.6;white;dwarf;Druuge;V-c;Radioactive;3;3;1;1;1;0;904;-1;199;36;71;-132;291;0;6345
Phoenicis;Beta;957.3;418.2;red;dwarf;Druuge;V-c;Pellucid;3;3;1;1;1;0;0;-17;61;37;22;-251;295;0;6714
Algol;Prime;900.0;325.0;red;dwarf;Druuge;VI;Magma;8;8;1;1;1;0;78;6;143;75;107;-251;275;0;6823
Persei;Eta;889.5;268.7;orange;dwarf;Druuge;VI;Maroon;5;1;1;1;5;65;330;8;58;108;62;-230;204;14;7387
Persei;Beta;947.9;266.6;white;dwarf;Druuge;VI;Sapphire;2;2;1;1;1;0;1725;15;58;81;46;-136;250;0;6721
Persei;Gamma;933.3;279.1;red;dwarf;Druuge;VI;Gas Giant;8;3;8;1;1;0;0;-36;20;594;118;-247;117;65535;5048
Persei;Epsilon;903.8;240.7;red;dwarf;Druuge;VI;Pellucid;3;3;1;1;1;0;0;10;58;31;17;-250;208;0;6403
Phoenicis;Beta;957.3;418.2;red;dwarf;Druuge;VI;Purple;3;3;1;1;1;0;111;-19;58;33;19;-251;246;0;7253
Pictoris;Delta;959.9;358.3;green;dwarf;Druuge;VI;Magnetic;7;7;1;1;1;0;189;-12;146;80;116;-179;175;0;6278
Pictoris;Alpha;933.3;370.8;green;dwarf;Druuge;VI;Alkali;4;4;1;1;1;0;183;17;102;27;27;-185;203;14;7281
Piscium;Gamma;870.8;362.5;orange;dwarf;Druuge;VI;Pellucid;1;1;1;1;1;0;0;12;58;37;21;-225;26602;0;6069
Persei;Eta;889.5;268.7;orange;dwarf;Druuge;VI-a;Noble;2;2;1;1;1;0;215;15;33;32;10;-230;256;0;7387
Persei;Gamma;933.3;279.1;red;dwarf;Druuge;VI-a;Pellucid;2;2;1;1;1;0;0;9;61;30;18;-247;227;0;5048
Pictoris;Delta;959.9;358.3;green;dwarf;Druuge;VI-a;Noble;1;1;1;1;1;0;148;0;32;32;10;-179;214;0;6278
Pictoris;Delta;959.9;358.3;green;dwarf;Druuge;VI-b;Selenic;2;2;1;1;1;0;129;-9;63;36;22;-179;177;0;6278
Persei;Gamma;933.3;279.1;red;dwarf;Druuge;VII;Hydrocarbon;3;3;1;1;1;0;149;32;101;104;105;-249;155;0;6012
Persei;Beta;947.9;266.6;white;dwarf;Druuge;VII;Vinylogous;4;4;1;1;1;0;87;-22;97;93;90;-145;156;0;7682
Persei;Epsilon;903.8;240.7;red;dwarf;Druuge;VII;Gas Giant;8;3;8;1;1;0;0;1;20;799;159;-252;127;65535;7412
Phoenicis;Beta;957.3;418.2;red;dwarf;Druuge;VII;Ultramarine;2;1;2;1;1;0;150;24;34;32;10;-252;151;79;7883
Pictoris;Delta;959.9;358.3;green;dwarf;Druuge;VII;Green;5;5;2;1;1;102;120;13;101;27;27;-185;42509;81;7206
Piscium;Gamma;870.8;362.5;orange;dwarf;Druuge;VII;Carbide;2;2;1;1;1;0;64;5;100;26;26;-226;183;0;6413
Persei;Epsilon;903.8;240.7;red;dwarf;Druuge;VII-a;Noble;3;3;1;1;1;0;272;3;34;30;10;-252;159;0;7412
Persei;Epsilon;903.8;240.7;red;dwarf;Druuge;VII-b;Crimson;2;2;2;1;2;20;277;6;105;33;34;-252;176;81;7412
Persei;Gamma;933.3;279.1;red;dwarf;Druuge;VIII;Magma;8;8;1;1;1;0;48;4;149;81;120;-251;156;0;7004
Piscium;Gamma;870.8;362.5;orange;dwarf;Druuge;VIII;Gas Giant;8;3;8;1;1;0;0;-29;20;1094;218;-231;142;65535;7860
Piscium;Gamma;870.8;362.5;orange;dwarf;Druuge;VIII-a;Noble;3;3;1;1;1;0;198;28;32;34;10;-231;222;0;7860
Piscium;Gamma;870.8;362.5;orange;dwarf;Druuge;VIII-b;Infrared;5;5;2;1;1;0;108;-4;101;32;32;-231;213;97;7860
Bootis;Beta;035.1;275.8;yellow;dwarf;Ilwrath;I;Alkali;4;3;4;2;1;0;219;-16;103;28;28;59;154;84;387
Bootis;Alpha;022.9;266.6;green;dwarf;Ilwrath;I;Green;4;4;3;1;1;0;360;2;96;26;24;-84;189;107;1582
Bootis;Delta;021.7;250.9;orange;dwarf;Ilwrath;I;Cimmerian;3;3;1;1;1;0;66;-9;143;31;44;-218;282;0;4557
Bootis;Gamma;038.4;290.0;orange;dwarf;Ilwrath;I;Super-Dense;5;5;4;1;1;0;171;32;197;27;53;-115;157;110;569
Bootis;Epsilon;013.8;269.6;red;dwarf;Ilwrath;I;Telluric;4;3;3;1;1;0;99;-21;96;108;103;-224;250;96;1437
Bootis;Eta;067.2;286.3;orange;dwarf;Ilwrath;I;Copper;2;2;2;1;1;0;96;-1;145;29;42;-171;245;13;1360
Bootis;Zeta;016.7;287.5;red;dwarf;Ilwrath;I;Gas Giant;8;3;8;1;1;0;0;-13;20;674;134;-240;86;65535;3217
Centauri;Delta;131.2;126.0;yellow;dwarf;Ilwrath;I;Cyanic;1;1;1;1;1;0;101;-15;34;36;12;-102;296;0;1090
Mizar;Prime;041.6;130.1;red;dwarf;Ilwrath;I;Infrared;3;2;3;1;1;0;147;12;97;27;26;-236;150;101;2566
Olber;Gamma;031.2;225.0;blue;dwarf;Ilwrath;I;Copper;2;1;2;1;1;0;582;15;157;36;56;-88;215;14;2588
Olber;Beta;012.5;222.9;blue;dwarf;Ilwrath;I;Acid;3;3;1;1;1;0;152;1;98;32;31;-58;243;0;1922
Olber;Alpha;027.0;218.7;blue;dwarf;Ilwrath;I;Radioactive;5;2;4;5;1;0;952;-14;200;33;66;339;186;96;591
Procyon;Prime;074.2;226.8;orange;dwarf;Ilwrath;I;Halide;3;3;1;1;1;0;182;-26;60;32;19;-202;263;0;2782
Volantis;Epsilon;070.5;183.8;green;dwarf;Ilwrath;I;Acid;4;3;3;1;2;74;167;17;104;33;34;12;248;12;864
Volantis;Eta;065.0;164.6;green;dwarf;Ilwrath;I;Auric;7;3;6;7;1;0;912;-6;145;26;37;719;271;282;291
Volantis;Gamma;104.8;191.9;green;dwarf;Ilwrath;I;Emerald;2;2;1;1;1;0;2275;-1;63;80;50;-64;41075;0;1309
Volantis;Delta;097.7;195.3;yellow;dwarf;Ilwrath;I;Vinylogous;2;2;1;1;1;0;118;18;104;75;78;-5;195;0;449
Volantis;Alpha;095.1;177.0;yellow;dwarf;Ilwrath;I;Azure;6;4;4;1;6;70;129;6;63;34;21;19;175;111;582
Volantis;Zeta;073.6;173.7;blue;giant;Ilwrath;I;Gas Giant;10;1;8;8;1;0;0;36;21;373;78;2144;126;65535;944
Volantis;Beta;114.0;184.7;white;dwarf;Ilwrath;I;Gas Giant;8;2;8;1;1;0;0;-5;21;1075;225;-45;140;65535;2434
Bootis;Epsilon;013.8;269.6;red;dwarf;Ilwrath;I-a;Super-Dense;7;7;3;1;1;0;165;29;203;37;75;-224;165;100;1437
Bootis;Zeta;016.7;287.5;red;dwarf;Ilwrath;I-a;Purple;4;4;1;1;1;0;75;-6;61;25;15;-240;295;0;3217
Volantis;Zeta;073.6;173.7;blue;giant;Ilwrath;I-a;Carbide;8;4;4;8;1;0;84;17;100;25;25;1536;264;85;944
Volantis;Beta;114.0;184.7;white;dwarf;Ilwrath;I-a;Urea;7;7;3;1;1;9;3;-1;58;37;21;-45;298;86;2434
Volantis;Zeta;073.6;173.7;blue;giant;Ilwrath;I-b;Opalescent;8;3;1;8;1;0;561;24;62;34;21;1265;24702;0;944
Volantis;Beta;114.0;184.7;white;dwarf;Ilwrath;I-b;Oolite;5;4;3;1;3;189;661;5;149;26;38;-45;245;90;2434
Volantis;Beta;114.0;184.7;white;dwarf;Ilwrath;I-c;Radioactive;1;1;1;1;1;0;1344;-5;206;26;53;-45;154;0;2434
Volantis;Beta;114.0;184.7;white;dwarf;Ilwrath;I-d;Cyanic;1;1;1;1;1;0;31;21;33;27;8;-45;286;0;2434
Bootis;Gamma;038.4;290.0;orange;dwarf;Ilwrath;II;Halide;3;3;1;1;1;0;502;-4;58;37;21;-177;207;0;1530
Bootis;Eta;067.2;286.3;orange;dwarf;Ilwrath;II;Alkali;2;2;2;1;1;0;285;45;103;28;28;-190;206;14;2043
Bootis;Alpha;022.9;266.6;green;dwarf;Ilwrath;II;Ultramarine;3;1;3;1;2;52;396;4;33;33;10;-122;297;92;2495
Bootis;Zeta;016.7;287.5;red;dwarf;Ilwrath;II;Crimson;4;3;3;1;1;0;153;1;103;36;37;-246;231;79;4566
Bootis;Epsilon;013.8;269.6;red;dwarf;Ilwrath;II;Purple;3;3;1;1;1;0;141;-14;58;35;20;-233;254;0;2182
Bootis;Beta;035.1;275.8;yellow;dwarf;Ilwrath;II;Telluric;3;2;3;1;1;0;204;14;103;112;115;-115;266;88;1274
Bootis;Delta;021.7;250.9;orange;dwarf;Ilwrath;II;Telluric;3;3;2;1;1;0;156;16;99;83;82;-225;188;75;5961
Centauri;Delta;131.2;126.0;yellow;dwarf;Ilwrath;II;Xenolithic;4;4;2;1;1;0;165;1;102;97;98;-151;216;15;2149
Olber;Gamma;031.2;225.0;blue;dwarf;Ilwrath;II;Organic;6;6;1;1;1;0;118;0;104;103;107;-147;168;0;5563
Olber;Alpha;027.0;218.7;blue;dwarf;Ilwrath;II;Urea;8;6;8;3;1;0;24;-10;61;33;20;121;211;3229;993
